CourseName,Description
LAW 679,"Credit: 3 OR 4 hours.
Course Description: Problems in the administration of criminal justice, with emphasis upon the commencement of formal proceedings (bail, decision to prosecute, grand jury, preliminary hearing, location of prosecution, scope of prosecution, speedy trial); the adversary system (pleas, discovery, jury trials, prejudicial publicity, ethical problems, double jeopardy); and post-conviction review (post-trial motions, appeals, habeas corpus, related post-conviction remedies).
"
LING 400,"Credit: 3 OR 4 hours.
Course Description: Introduction to the theory and methodology of the science of linguistics with special reference to phonology, morphology, syntax and semantics. Not intended for undergraduate majors in linguistics.
"
ACE 398,"Credit: 1 to 3 hours.
Course Description: Group discussion on a special topic in a field of study directly pertaining to subject matter in agricultural and consumer economics.
Prerequisite: Junior standing and consent of instructor."
RHET 243,
JOUR 460,"Credit: 1 TO 4 hours.
Course Description: A changing array of special projects, research or reading in journalism.
"
ACE 398,"Credit: 1 to 3 hours.
Course Description: Group discussion on a special topic in a field of study directly pertaining to subject matter in agricultural and consumer economics.
Prerequisite: Junior standing and consent of instructor."
CS 427/CSE 426,"Credit: 3 OR 4 hours.
Course Description: Software process, analysis and design. Software development paradigms, system engineering, function-based analysis and design, and object-oriented analysis and design. Course will use team-projects for hands-on exercises.
Prerequisite: One of CS 222, CS 240, CS 241, CS 340, CS 341 or ECE 391."
ACE 564,"Credit: 2 hours.
Course Description: Application of multiple regression methods to problems in agricultural and consumer economics with emphasis on extensions to the simple, two-variable regression model, development of the multiple regression model; and problems created by violations of basic model assumptions.
Prerequisite: ACE 562 or equivalent."
FIN 513,"Credit: 4 hours.
Course Description: Provides an introduction to modern techniques for pricing options, swaps, and related financial instruments; the use of such instruments in managing financial risk; and the measurement and management of their risks.
Prerequisite: FIN 520; or MBA 505 - Section G (Finance II); or consent of instructor."
LING 425/MACS 425,"Credit: 3 OR 4 hours.
Course Description: Introductory survey of psychological and linguistic approaches to the study of communication.
Prerequisite: An introductory course in linguistics or psychology."
ECE 483,"Credit: 3 hours.
Course Description: Basic linear integrated circuit design techniques using bi-polar, JFET, and MOS technologies; operational amplifiers; wide-band feedback amplifiers; sinusoidal and relaxation oscillators; electric circuit noise; application of linear integrated circuits.
Prerequisite: ECE 342."
SPAN 122,"Credit: 4 hours.
Course Description: Intensive beginning Spanish, equivalent to the first two semesters, for students with little or no experience in Spanish or whose skills need refreshing. This is considered a second level course for the purposes of fulfilling the University General Education Language Other Than English (LOTE) requirement. Instruction in Spanish.
Prerequisite: None or assignment by placement exam."
ECE 522,"Credit: 4 hours.
Course Description: We will discuss advanced techniques for building memory and storage systems. It will cover a variety of recent research topics centered around memory and storage systems, including the new and emerging hardware architecture, systems software, memory-centric applications, near-data computing, rack-scale storage, storage security and reliability, mobile/wearable/IoT storage, and storage at rack scale. Through this course, students will learn not only the fundamental concepts of memory and storage systems via the lecture materials, but also the hands-on experience of building and evaluating a memory/storage-centric system via projects.
Prerequisite: ECE 391, ECE 411/CS 433 or equivalent courses."
GWS 335/MACS 335,"Credit: 3 hours.
Course Description: Examines the history and theory of film, television, and their interrelationship through one or more specific case studies. Topics may include: film and feminist movements; girl films; queer TV; gender, sport and TV. Focuses attention on gender and related issues such as race, ethnicity, sexuality, age, ability and disability, class, and nationality. Addresses issues of representation, narrative, genre, industry, audience, exhibition, media convergence, new and mobile media, and social space.
"
